case,distance_m,theta_x_deg,theta_y_deg,element_id,x_mm,y_mm,amplitude,phase_offset_deg
R1.0_x0_y0,1.0,0.0,0.0,U11,28.146,-22.446,0.991486,57.222
R1.0_x15_y0,1.0,15.0,0.0,U00,0.000,0.000,0.213756,33.099
R1.0_x15_y0,1.0,15.0,0.0,U01,14.280,10.958,0.467860,64.265
R1.0_x15_y0,1.0,15.0,0.0,U02,-10.958,14.280,0.358034,-42.922
R1.0_x15_y0,1.0,15.0,0.0,U03,-14.280,-10.958,0.708508,31.153
R1.0_x15_y0,1.0,15.0,0.0,U04,10.958,-14.280,0.754218,-5.313
R1.0_x15_y0,1.0,15.0,0.0,U05,35.097,8.011,0.858771,17.459
R1.0_x15_y0,1.0,15.0,0.0,U06,15.620,32.435,0.884916,19.007
R1.0_x15_y0,1.0,15.0,0.0,U07,-15.620,32.435,0.929638,-16.785
R1.0_x15_y0,1.0,15.0,0.0,U08,-35.097,8.011,0.798465,10.543
R1.0_x15_y0,1.0,15.0,0.0,U09,-28.146,-22.446,0.896976,-4.676
R1.0_x15_y0,1.0,15.0,0.0,U10,-0.000,-36.000,0.462505,11.039
R1.0_x15_y0,1.0,15.0,0.0,U11,28.146,-22.446,0.885615,5.683
R1.0_x-15_y0,1.0,-15.0,0.0,U00,0.000,0.000,0.247660,42.121
R1.0_x-15_y0,1.0,-15.0,0.0,U01,14.280,10.958,0.469356,7.537
R1.0_x-15_y0,1.0,-15.0,0.0,U02,-10.958,14.280,0.353393,117.128
R1.0_x-15_y0,1.0,-15.0,0.0,U03,-14.280,-10.958,0.680343,26.523
R1.0_x-15_y0,1.0,-15.0,0.0,U04,10.958,-14.280,0.887623,62.907
R1.0_x-15_y0,1.0,-15.0,0.0,U05,35.097,8.011,0.887037,45.912
R1.0_x-15_y0,1.0,-15.0,0.0,U06,15.620,32.435,0.938479,40.876
R1.0_x-15_y0,1.0,-15.0,0.0,U07,-15.620,32.435,0.964261,73.625
R1.0_x-15_y0,1.0,-15.0,0.0,U08,-35.097,8.011,0.861538,53.783
R1.0_x-15_y0,1.0,-15.0,0.0,U09,-28.146,-22.446,1.000000,70.057
R1.0_x-15_y0,1.0,-15.0,0.0,U10,-0.000,-36.000,0.500668,47.249
R1.0_x-15_y0,1.0,-15.0,0.0,U11,28.146,-22.446,0.944501,57.842
R1.0_x0_y15,1.0,0.0,15.0,U00,0.000,0.000,0.210256,-26.865
R1.0_x0_y15,1.0,0.0,15.0,U01,14.280,10.958,0.589929,-12.731
R1.0_x0_y15,1.0,0.0,15.0,U02,-10.958,14.280,0.729555,-67.245
R1.0_x0_y15,1.0,0.0,15.0,U03,-14.280,-10.958,0.609691,-35.977
R1.0_x0_y15,1.0,0.0,15.0,U04,10.958,-14.280,0.212108,-92.783
R1.0_x0_y15,1.0,0.0,15.0,U05,35.097,8.011,0.774055,-52.536
R1.0_x0_y15,1.0,0.0,15.0,U06,15.620,32.435,0.893333,-54.630
R1.0_x0_y15,1.0,0.0,15.0,U07,-15.620,32.435,0.969636,-58.617
R1.0_x0_y15,1.0,0.0,15.0,U08,-35.097,8.011,0.551191,-51.050
R1.0_x0_y15,1.0,0.0,15.0,U09,-28.146,-22.446,0.832998,-74.737
R1.0_x0_y15,1.0,0.0,15.0,U10,-0.000,-36.000,0.787779,-61.688
R1.0_x0_y15,1.0,0.0,15.0,U11,28.146,-22.446,1.000000,-83.290
