case,distance_mm,theta_x_deg,theta_y_deg,element_id,x_mm,y_mm,rho_mm,amplitude,phase_deg
R300_x-15,300,-15.0,0.0,E21,-6.060,57.680,57.997,0.613843,196.859
R300_x-15,300,-15.0,0.0,E22,-29.000,50.230,58.000,0.795471,85.226
R300_x-15,300,-15.0,0.0,E23,-46.920,34.090,57.997,0.914656,282.777
R300_x-15,300,-15.0,0.0,E24,-56.730,12.060,57.998,0.997566,32.251
R300_x-15,300,-15.0,0.0,E25,-56.730,-12.060,57.998,0.997566,32.251
R300_x-15,300,-15.0,0.0,E26,-46.920,-34.090,57.997,0.914656,282.777
R300_x-15,300,-15.0,0.0,E27,-29.000,-50.230,58.000,0.795471,85.226
R300_x-15,300,-15.0,0.0,E28,-6.060,-57.680,57.997,0.613843,196.859
R300_x-15,300,-15.0,0.0,E29,17.920,-55.160,57.998,0.428934,302.269
R300_x-15,300,-15.0,0.0,E30,38.810,-43.100,57.999,0.338112,84.474
R300_x-15,300,-15.0,0.0,E31,52.990,-23.590,58.004,0.318731,298.619
R300_x15,300,15.0,0.0,E00,0.000,0.000,0.000,0.735451,5.248
R300_x15,300,15.0,0.0,E01,19.500,0.000,19.500,0.904029,191.909
R300_x15,300,15.0,0.0,E02,12.160,15.250,19.505,0.792605,111.204
R300_x15,300,15.0,0.0,E03,-4.340,19.010,19.499,0.718187,291.701
R300_x15,300,15.0,0.0,E04,-17.570,8.460,19.501,0.615501,149.573
R300_x15,300,15.0,0.0,E05,-17.570,-8.460,19.501,0.615501,149.573
R300_x15,300,15.0,0.0,E06,-4.340,-19.010,19.499,0.718187,291.701
R300_x15,300,15.0,0.0,E07,12.160,-15.250,19.505,0.792605,111.204
R300_x15,300,15.0,0.0,E08,37.000,0.000,37.000,0.925785,315.312
R300_x15,300,15.0,0.0,E09,28.340,23.780,36.995,0.888795,219.239
R300_x15,300,15.0,0.0,E10,6.420,36.440,37.001,0.704955,339.237
R300_x15,300,15.0,0.0,E11,-18.500,32.040,36.997,0.554172,71.869
R300_x15,300,15.0,0.0,E12,-34.770,12.650,37.000,0.411353,260.237
R300_x15,300,15.0,0.0,E13,-34.770,-12.650,37.000,0.411353,260.237
R300_x15,300,15.0,0.0,E14,-18.500,-32.040,36.997,0.554172,71.869
R300_x15,300,15.0,0.0,E15,6.420,-36.440,37.001,0.704955,339.237
R300_x15,300,15.0,0.0,E16,28.340,-23.780,36.995,0.888795,219.239
R300_x15,300,15.0,0.0,E17,58.000,0.000,58.000,1.000000,46.477
R300_x15,300,15.0,0.0,E18,52.990,23.590,58.004,0.963239,350.346
R300_x15,300,15.0,0.0,E19,38.810,43.100,57.999,0.892345,192.982
R300_x15,300,15.0,0.0,E20,17.920,55.160,57.998,0.703533,324.665
R300_x15,300,15.0,0.0,E21,-6.060,57.680,57.997,0.546538,67.557
R300_x15,300,15.0,0.0,E22,-29.000,50.230,58.000,0.385273,186.284
R300_x15,300,15.0,0.0,E23,-46.920,34.090,57.997,0.332258,0.896
R300_x15,300,15.0,0.0,E24,-56.730,12.060,57.998,0.340151,260.469
R300_x15,300,15.0,0.0,E25,-56.730,-12.060,57.998,0.340151,260.469
R300_x15,300,15.0,0.0,E26,-46.920,-34.090,57.997,0.332258,0.896
R300_x15,300,15.0,0.0,E27,-29.000,-50.230,58.000,0.385273,186.284
R300_x15,300,15.0,0.0,E28,-6.060,-57.680,57.997,0.546538,67.557
R300_x15,300,15.0,0.0,E29,17.920,-55.160,57.998,0.703533,324.665
R300_x15,300,15.0,0.0,E30,38.810,-43.100,57.999,0.892345,192.982
R300_x15,300,15.0,0.0,E31,52.990,-23.590,58.004,0.963239,350.346
R400_x-15,400,-15.0,0.0,E00,0.000,0.000,0.000,0.733212,126.997
R400_x-15,400,-15.0,0.0,E01,19.500,0.000,19.500,0.504571,256.736
R400_x-15,400,-15.0,0.0,E02,12.160,15.250,19.505,0.716766,335.586
R400_x-15,400,-15.0,0.0,E03,-4.340,19.010,19.499,0.755862,154.224
R400_x-15,400,-15.0,0.0,E04,-17.570,8.460,19.501,0.880218,298.833
R400_x-15,400,-15.0,0.0,E05,-17.570,-8.460,19.501,0.880218,298.833
R400_x-15,400,-15.0,0.0,E06,-4.340,-19.010,19.499,0.755862,154.224
