z_mm,angle_deg,x_mm,method,pressure_psl_db,audio_proxy_psl_db,pressure_p99_5_db,focus_error_mm,fwhm_x_mm,fwhm_y_mm,target_gain_vs_onaxis200_db,target_amp
120,10,21.159237685015796,phase_only,-7.122244300346047,-14.244488600692094,-9.644245255153308,1.4142135623730951,10.209191053120936,9.983638611046153,0.8021764907813937,139.56165263499088
120,10,21.159237685015796,rls_amp,-9.958984773626216,-19.917969547252433,-12.120095027682805,1.4142135623730951,12.036491103971175,11.897281142527088,-2.0511735805931557,100.48438989715876
120,15,32.15390309173472,phase_only,-6.501443009163687,-13.002886018327374,-8.750016128449456,2.23606797749979,10.583037328007986,10.047322616140416,-0.07814257452823686,126.1101813702897
120,15,32.15390309173472,rls_amp,-9.685474632529182,-19.370949265058364,-11.867231110933226,1.4142135623730951,12.232882305961574,11.935488102462484,-2.931492645905543,90.79933058654498
150,0,0.0,phase_only,-9.946399455294213,-19.892798910588425,-11.37367140426404,1.4142135623730951,11.440923935038189,11.44104079651457,1.120255137111172,144.76715374946286
150,0,0.0,rls_amp,-11.323526951660849,-22.647053903321698,-12.702084727691641,1.4142135623730951,13.638470178579592,13.60128056707871,-1.7330949342613613,104.23235069960282
150,10,26.449047106269745,phase_only,-7.831119799397404,-15.662239598794809,-10.217639117286456,1.4142135623730951,11.822532427868769,11.473692078353052,0.31042433676876785,131.87986559240414
150,10,26.449047106269745,rls_amp,-10.493441524898481,-20.986883049796962,-12.12922381160218,1.4142135623730951,13.939466852624715,13.609487654518876,-2.542925734601585,94.95350322654213
150,15,40.1923788646684,phase_only,-7.1790882953356,-14.3581765906712,-9.053307881108204,2.23606797749979,12.445730190252121,11.596227263696246,-0.7649879260130522,116.5219872294889
150,15,40.1923788646684,rls_amp,-10.03727669516457,-20.07455339032914,-11.795077071081835,2.23606797749979,14.630697667988969,13.71383559696196,-3.618337997382264,83.89583080524872
200,0,0.0,phase_only,-11.045787955767494,-22.09157591153499,-12.358752449031549,1.4142135623730951,14.63981674291447,14.639988544119447,8.686661818707667e-12,127.24984998381007
200,0,0.0,rls_amp,-12.072609943500058,-24.145219887000117,-13.327245091874932,1.4142135623730951,16.65745214082562,16.673378103217846,-2.8533500713616613,91.6198919883528
200,10,35.265396141692996,phase_only,-8.350948345918912,-16.701896691837824,-10.521522936106194,2.236067977499783,15.363512774713762,14.722184057573864,-0.9754947293614986,113.7319649548875
